class,subject_id,subject_name,subject_type
A,MAT,Mathematics,Core
A,DB,Database Systems,Core
A,CN,Computer Networks,Core
B,MAT,Mathematics,Core
B,AI,Artificial Intelligence,Core
B,SE,Software Engineering,Core
C,MAT,Mathematics,Core
C,AI,Artificial Intelligence,Core
C,CN,Computer Networks,Core
A,CLOUD,Cloud Computing,Elective
A,CYBERSECURITY_HONORS,Cybersecurity Honors,Honors
A,BLOCKCHAIN,Blockchain Technology,Elective
A,DATA_SCIENCE_HONORS,Data Science Honors,Honors
A,AI_HONORS,Artificial Intelligence Honors,Honors
A,DATA_MINING,Data Mining,Elective
B,DATA_MINING,Data Mining,Elective
B,BLOCKCHAIN,Blockchain Technology,Elective
B,CYBERSECURITY_HONORS,Cybersecurity Honors,Honors
B,CLOUD,Cloud Computing,Elective
B,DATA_SCIENCE_HONORS,Data Science Honors,Honors
B,AI_HONORS,Artificial Intelligence Honors,Honors
C,AI_HONORS,Artificial Intelligence Honors,Honors
C,CLOUD,Cloud Computing,Elective
C,BLOCKCHAIN,Blockchain Technology,Elective
C,CYBERSECURITY_HONORS,Cybersecurity Honors,Honors
C,DATA_MINING,Data Mining,Elective
C,DATA_SCIENCE_HONORS,Data Science Honors,Honors
