student_id,class,subject_id,subject_name,subject_type
A01,A,MAT,Mathematics,Core
A01,A,DB,Database Systems,Core
A01,A,CN,Computer Networks,Core
A01,A,CLOUD,Cloud Computing,Elective
A02,A,MAT,Mathematics,Core
A02,A,DB,Database Systems,Core
A02,A,CN,Computer Networks,Core
A02,A,CLOUD,Cloud Computing,Elective
A03,A,MAT,Mathematics,Core
A03,A,DB,Database Systems,Core
A03,A,CN,Computer Networks,Core
A03,A,CYBERSECURITY_HONORS,Cybersecurity Honors,Honors
A03,A,CLOUD,Cloud Computing,Elective
A04,A,MAT,Mathematics,Core
A04,A,DB,Database Systems,Core
A04,A,CN,Computer Networks,Core
A04,A,BLOCKCHAIN,Blockchain Technology,Elective
A05,A,MAT,Mathematics,Core
A05,A,DB,Database Systems,Core
A05,A,CN,Computer Networks,Core
A05,A,DATA_SCIENCE_HONORS,Data Science Honors,Honors
A05,A,CLOUD,Cloud Computing,Elective
A06,A,MAT,Mathematics,Core
A06,A,DB,Database Systems,Core
A06,A,CN,Computer Networks,Core
A06,A,AI_HONORS,Artificial Intelligence Honors,Honors
A06,A,CLOUD,Cloud Computing,Elective
A07,A,MAT,Mathematics,Core
A07,A,DB,Database Systems,Core
A07,A,CN,Computer Networks,Core
A07,A,CLOUD,Cloud Computing,Elective
A08,A,MAT,Mathematics,Core
A08,A,DB,Database Systems,Core
A08,A,CN,Computer Networks,Core
A08,A,BLOCKCHAIN,Blockchain Technology,Elective
A09,A,MAT,Mathematics,Core
A09,A,DB,Database Systems,Core
A09,A,CN,Computer Networks,Core
A09,A,BLOCKCHAIN,Blockchain Technology,Elective
A10,A,MAT,Mathematics,Core
A10,A,DB,Database Systems,Core
A10,A,CN,Computer Networks,Core
A10,A,DATA_MINING,Data Mining,Elective
A11,A,MAT,Mathematics,Core
A11,A,DB,Database Systems,Core
A11,A,CN,Computer Networks,Core
A11,A,CLOUD,Cloud Computing,Elective
A12,A,MAT,Mathematics,Core
A12,A,DB,Database Systems,Core
A12,A,CN,Computer Networks,Core
A12,A,CLOUD,Cloud Computing,Elective
A13,A,MAT,Mathematics,Core
A13,A,DB,Database Systems,Core
A13,A,CN,Computer Networks,Core
A13,A,DATA_MINING,Data Mining,Elective
A14,A,MAT,Mathematics,Core
A14,A,DB,Database Systems,Core
A14,A,CN,Computer Networks,Core
A14,A,AI_HONORS,Artificial Intelligence Honors,Honors
A14,A,DATA_MINING,Data Mining,Elective
A15,A,MAT,Mathematics,Core
A15,A,DB,Database Systems,Core
A15,A,CN,Computer Networks,Core
A15,A,DATA_SCIENCE_HONORS,Data Science Honors,Honors
A15,A,CLOUD,Cloud Computing,Elective
A16,A,MAT,Mathematics,Core
A16,A,DB,Database Systems,Core
A16,A,CN,Computer Networks,Core
A16,A,DATA_SCIENCE_HONORS,Data Science Honors,Honors
A16,A,BLOCKCHAIN,Blockchain Technology,Elective
A17,A,MAT,Mathematics,Core
A17,A,DB,Database Systems,Core
A17,A,CN,Computer Networks,Core
A17,A,AI_HONORS,Artificial Intelligence Honors,Honors
A17,A,BLOCKCHAIN,Blockchain Technology,Elective
A18,A,MAT,Mathematics,Core
A18,A,DB,Database Systems,Core
A18,A,CN,Computer Networks,Core
A18,A,CLOUD,Cloud Computing,Elective
A19,A,MAT,Mathematics,Core
A19,A,DB,Database Systems,Core
A19,A,CN,Computer Networks,Core
A19,A,DATA_MINING,Data Mining,Elective
A20,A,MAT,Mathematics,Core
A20,A,DB,Database Systems,Core
A20,A,CN,Computer Networks,Core
A20,A,DATA_SCIENCE_HONORS,Data Science Honors,Honors
A20,A,BLOCKCHAIN,Blockchain Technology,Elective
B01,B,MAT,Mathematics,Core
B01,B,AI,Artificial Intelligence,Core
B01,B,SE,Software Engineering,Core
B01,B,DATA_MINING,Data Mining,Elective
B02,B,MAT,Mathematics,Core
B02,B,AI,Artificial Intelligence,Core
B02,B,SE,Software Engineering,Core
B02,B,BLOCKCHAIN,Blockchain Technology,Elective
B03,B,MAT,Mathematics,Core
B03,B,AI,Artificial Intelligence,Core
B03,B,SE,Software Engineering,Core
B03,B,CYBERSECURITY_HONORS,Cybersecurity Honors,Honors
B03,B,CLOUD,Cloud Computing,Elective
