subject_1,subject_1_name,subject_2,subject_2_name,number_of_conflicting_students,conflicting_students
CN,Computer Networks,MAT,Mathematics,40,"A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20"
AI,Artificial Intelligence,MAT,Mathematics,40,"B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20"
CLOUD,Cloud Computing,MAT,Mathematics,27,"A01,A02,A03,A05,A06,A07,A11,A12,A15,A18,B03,B04,B05,B07,B10,B11,B14,B15,B17,C01,C06,C07,C09,C12,C13,C19,C20"
DB,Database Systems,MAT,Mathematics,20,"A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20"
MAT,Mathematics,SE,Software Engineering,20,"B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20"
CN,Computer Networks,DB,Database Systems,20,"A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20"
AI,Artificial Intelligence,CN,Computer Networks,20,"C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20"
AI,Artificial Intelligence,SE,Software Engineering,20,"B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20"
BLOCKCHAIN,Blockchain Technology,MAT,Mathematics,19,"A04,A08,A09,A16,A17,A20,B02,B06,B08,B09,B13,B18,C02,C05,C08,C11,C14,C15,C17"
CLOUD,Cloud Computing,CN,Computer Networks,18,"A01,A02,A03,A05,A06,A07,A11,A12,A15,A18,C01,C06,C07,C09,C12,C13,C19,C20"
AI,Artificial Intelligence,CLOUD,Cloud Computing,17,"B03,B04,B05,B07,B10,B11,B14,B15,B17,C01,C06,C07,C09,C12,C13,C19,C20"
DATA_MINING,Data Mining,MAT,Mathematics,14,"A10,A13,A14,A19,B01,B12,B16,B19,B20,C03,C04,C10,C16,C18"
BLOCKCHAIN,Blockchain Technology,CN,Computer Networks,13,"A04,A08,A09,A16,A17,A20,C02,C05,C08,C11,C14,C15,C17"
AI,Artificial Intelligence,BLOCKCHAIN,Blockchain Technology,13,"B02,B06,B08,B09,B13,B18,C02,C05,C08,C11,C14,C15,C17"
CLOUD,Cloud Computing,DB,Database Systems,10,"A01,A02,A03,A05,A06,A07,A11,A12,A15,A18"
AI,Artificial Intelligence,DATA_MINING,Data Mining,10,"B01,B12,B16,B19,B20,C03,C04,C10,C16,C18"
CN,Computer Networks,DATA_MINING,Data Mining,9,"A10,A13,A14,A19,C03,C04,C10,C16,C18"
CLOUD,Cloud Computing,SE,Software Engineering,9,"B03,B04,B05,B07,B10,B11,B14,B15,B17"
CYBERSECURITY_HONORS,Cybersecurity Honors,MAT,Mathematics,9,"A03,B03,B09,B10,B18,B19,B20,C03,C10"
AI,Artificial Intelligence,CYBERSECURITY_HONORS,Cybersecurity Honors,8,"B03,B09,B10,B18,B19,B20,C03,C10"
AI_HONORS,Artificial Intelligence Honors,MAT,Mathematics,8,"A06,A14,A17,B08,B16,C01,C05,C17"
