subject_1,subject_2,weight
MAT,DB,20
MAT,CN,40
MAT,CLOUD,27
MAT,CYBERSECURITY_HONORS,9
MAT,BLOCKCHAIN,19
MAT,DATA_SCIENCE_HONORS,7
MAT,AI_HONORS,8
MAT,DATA_MINING,14
MAT,AI,40
MAT,SE,20
DB,CN,20
DB,CLOUD,10
DB,CYBERSECURITY_HONORS,1
DB,BLOCKCHAIN,6
DB,DATA_SCIENCE_HONORS,4
DB,AI_HONORS,3
DB,DATA_MINING,4
CN,CLOUD,18
CN,CYBERSECURITY_HONORS,3
CN,BLOCKCHAIN,13
CN,DATA_SCIENCE_HONORS,5
CN,AI_HONORS,6
CN,DATA_MINING,9
CN,AI,20
AI,SE,20
AI,DATA_MINING,10
AI,BLOCKCHAIN,13
AI,CYBERSECURITY_HONORS,8
AI,CLOUD,17
AI,DATA_SCIENCE_HONORS,3
AI,AI_HONORS,5
SE,DATA_MINING,5
SE,BLOCKCHAIN,6
SE,CYBERSECURITY_HONORS,6
SE,CLOUD,9
SE,DATA_SCIENCE_HONORS,2
SE,AI_HONORS,2
AI_HONORS,CLOUD,2
AI_HONORS,DATA_MINING,2
AI_HONORS,BLOCKCHAIN,4
DATA_SCIENCE_HONORS,CLOUD,2
DATA_SCIENCE_HONORS,BLOCKCHAIN,3
DATA_SCIENCE_HONORS,DATA_MINING,2
CYBERSECURITY_HONORS,CLOUD,3
CYBERSECURITY_HONORS,BLOCKCHAIN,2
CYBERSECURITY_HONORS,DATA_MINING,4
